"Question Text","Option A","Option B","Option C","Option D","Correct Option"
"దూత వచ్చినప్పుడు చెరసాలలో ఏమి ప్రకాశించింది?","అగ్ని","మెరుపు","వెలుగు","సూర్యకాంతి","వెలుగు"
"దూత పేతురుతో మొదట ఏమన్నాడు?","నన్ను అనుసరించు","త్వరగా లెమ్ము","భయపడవద్దు","ప్రార్థించు","త్వరగా లెమ్ము"
"పేతురు చేతులకు ఉన్న సంకెళ్లు ఏమయ్యాయి?","విరిగిపోయాయి","అలాగే ఉన్నాయి","చేతుల నుండి ఊడిపోయాయి","సైనికులు తీసేశారు","చేతుల నుండి ఊడిపోయాయి"
"పేతురు మొదట ఏమనుకున్నాడు?","ఇది కల","ఇది దర్శనం","ఇది నిజం కాదు","నేను చనిపోతున్నాను","ఇది దర్శనం"
"వీధిలోకి వచ్చిన తరువాత దూత ఏమయ్యాడు?","పేతురుతోనే ఉన్నాడు","మాయమయ్యాడు","చెరసాలకు వెళ్లాడు","యెరూషలేముకు వెళ్లాడు","మాయమయ్యాడు"
"పేతురు తనకు నిజంగా ఏమి జరిగిందని గ్రహించాడు?","తాను కలగంటున్నానని","ప్రభువు దూతను పంపి తనను విడిపించాడని","సైనికులు వదిలేశారని","హెరోదు క్షమించాడని","ప్రభువు దూతను పంపి తనను విడిపించాడని"
"పేతురు ఎవరి ఇంటికి వెళ్లాడు?","మార్థా","మరియ","లూదియా","తబితా","మరియ"
"ఆ మరియ ఎవరి తల్లి?","పౌలు","యోహాను మార్కు","యాకోబు","ఫిలిప్పు","యోహాను మార్కు"
"పేతురు తలుపు తట్టినప్పుడు తలుపు దగ్గరకు వచ్చిన దాసి పేరు ఏమిటి?","దొర్కా","రోదె","సప్పీరా","మరియ","రోదె"
"రోదె పేతురు స్వరం గుర్తించినప్పుడు ఏమి చేసింది?","వెంటనే తలుపు తెరిచింది","భయపడి పారిపోయింది","ఆనందంతో తలుపు తీయకుండా లోపలికి పరుగెత్తింది","సైనికులను పిలిచింది","ఆనందంతో తలుపు తీయకుండా లోపలికి పరుగెత్తింది"
"రోదె చెప్పినప్పుడు లోపల ఉన్నవారు ఏమన్నారు?","నిజమే","అతడు వచ్చాడు","నీకు పిచ్చి పట్టింది","వెంటనే తలుపు తీయండి","నీకు పిచ్చి పట్టింది"
"పేతురు విడుదలైన విషయం తెలిసిన తర్వాత సైనికులకు ఏమైంది?","బహుమతి ఇచ్చారు","పదోన్నతి ఇచ్చారు","మరణశిక్ష విధించారు","విడుదల చేశారు","మరణశిక్ష విధించారు"
"హెరోదు యూదయ నుండి ఎక్కడికి వెళ్లాడు?","రోమా","కైసరియా","దమస్కు","అంతియొకయ","కైసరియా"
"తూరు, సీదోను ప్రజలు హెరోదు అనుగ్రహం కోరుటకు ఎవరి సహాయం తీసుకున్నారు?","మార్కు","బ్లాస్తు","ఫిలిప్పు","పేతురు","బ్లాస్తు"
"హెరోదు ప్రసంగించినప్పుడు ప్రజలు ఏమన్నారు?","రాజు చిరంజీవి","ఇది దేవుని స్వరం","ఇది మనుష్యుని స్వరం","ఇది దేవుని స్వరం, మనుష్యునిది కాదు","ఇది దేవుని స్వరం, మనుష్యునిది కాదు"
"హెరోదు దేవునికి మహిమ ఇవ్వనందున ఏమి జరిగింది?","అతను చెరలో పడ్డాడు","అతను రాజ్యాన్ని కోల్పోయాడు","ప్రభువు దూత అతనిని కొట్టగా పురుగులు తిని చనిపోయాడు","అతను అనారోగ్యపడ్డాడు","ప్రభువు దూత అతనిని కొట్టగా పురుగులు తిని చనిపోయాడు"
"ఈ సంఘటనల తరువాత దేవుని వాక్యం ఏమైంది?","తగ్గింది","నిలిచిపోయింది","వృద్ధి చెంది విస్తరించింది","దాచబడింది","వృద్ధి చెంది విస్తరించింది"
"బర్నబా, సౌలు తమ సేవను పూర్తి చేసి ఎక్కడి నుండి తిరిగి వచ్చారు?","రోమా","కైసరియా","యెరూషలేము","దమస్కు","యెరూషలేము"
"బర్నబా, సౌలు తమతో ఎవరిని తీసుకొని వచ్చారు?","తీతు","సీలా","మార్కు","తిమోతి","మార్కు"
